page_path_2,user_agent_type,result,users,dl_user_weight
/address-points-apn/,browser,133.0,743,0.0011328595987082266
/bike-master-plan/,browser,51.0,304,0.0010617196471569754
/bike-route-lines/,browser,128.0,341,0.0023755755799075512
/budget-reference-accounts/,browser,10.0,108,0.0014649726431359862
/budget-reference-depts/,browser,11.0,76,0.0022899835526915156
/budget-reference-funds/,browser,12.0,68,0.0027920655080944682
/budget-reference-projects/,browser,13.0,79,0.002603571634130284
/business-improvement-districts/,browser,76.0,162,0.0029690112234222656
/business-listings/,browser,347.0,1087,0.0007770336816101369
/candidates-and-ballot-measures-election/,browser,6.0,50,0.001898604545504238
/capital-actuals-fy/,browser,2.0,19,0.00041636064594391186
/capital-actuals-ptd/,browser,2.0,8,0.0009888565341167907
/capital-budget-fy/,browser,22.0,103,0.0007509762675493211
/capital-budget-ptd/,browser,4.0,47,0.0002693056092913813
/city-council-districts/,browser,191.0,523,0.002311239440352514
/city-owned-properties-details/,browser,50.0,181,0.004370636614880843
/city-owned-properties-leases/,browser,58.0,166,0.00552806544373724
/city-owned-properties-parcels/,browser,95.0,343,0.004382104757602105
/code-enforcement-violations/,browser,1462.0,1143,0.008094954346827636
/community-block-grants/,browser,95.0,233,0.0025803638315150595
/community-planning-district-boundaries/,browser,108.0,200,0.0034174881819076294
/complaint-type-codes/,browser,36.0,60,0.018986045455042382
/data-inventory/,browser,47.0,432,0.0034426857113695674
/drinking-water-sample-sites/,browser,81.0,183,0.007003049553089403
/enterprise-system-information/,browser,11.0,85,0.0040950294118718865
/facilities-assessment/,browser,27.0,107,0.003992392735873398
/financial-support-candidates-and-ballot-measures-election/,browser,2639.0,95,0.06278718540834193
/fire-battalion-districts/,browser,17.0,53,0.002029954545507676
/fire-incident-problem-agg/,browser,29.0,76,0.006037229366186722
/fire-incidents/,browser,379.0,1041,0.0008228936493597117
/fire-stations/,browser,65.0,188,0.002188108075492473
/general-plan-land-use/,browser,85.0,218,0.002467605296144652
/get-it-done-311/,browser,682.0,1742,0.002064753635721856
/gid-72-hour-violation/,browser,162.0,96,0.02669912642115335
/gid-graffiti-removal/,browser,154.0,87,0.028006235632916925
/gid-illegal-dumping/,browser,177.0,155,0.01806736583625001
/gid-pothole/,browser,349.0,389,0.014194794052720203
/historic-districts/,browser,29.0,79,0.002323186996608562
/joint-use/,browser,57.0,182,0.0019820596903615674
/library-locations/,browser,60.0,159,0.0023881818182443252
/lifeguard-stations/,browser,126.0,374,0.002132122751635776
/maintenance-assessment-districts/,browser,15.0,43,0.002207679704074696
/mhpa-areas/,browser,61.0,206,0.0018740271403844422
/monitoring-of-indicator-bacteria-in-drinking-water/,browser,165.0,251,0.0069338147412173375
/monitoring-of-select-chemical-parameters-in-drinking-water/,browser,112.0,152,0.007772065390953022
/operating-actuals/,browser,13.0,33,0.0015581981749719126
/operating-budget/,browser,81.0,172,0.0013547125456821996
/park-locations/,browser,143.0,284,0.003186625000083405
/parking-meters-locations/,browser,221.0,554,0.006311546398261683
/parking-meters-transactions/,browser,625.0,801,0.0015431593853258282
/pd-divisions/,browser,225.0,176,0.00809064437004647
/pd-neighborhoods/,browser,20.0,277,0.0004569445356207553
/permits-applied/,browser,76.0,158,0.007610440161303908
/permits-completed/,browser,147.0,154,0.007551268078710038
/permits-issued/,browser,243.0,634,0.0030320774484590553
/police-beats/,browser,349.0,875,0.0025242399481180157
/police-calls-disposition-codes/,browser,251.0,970,0.004094069939188693
/police-calls-for-service/,browser,825.0,4735,0.0013783427930666987
/police-collisions/,browser,737.0,3783,0.0030823674994198244
/police-hate-crimes/,browser,136.0,235,0.009156390715906963
/police-ripa-actions-taken/,browser,17.0,42,0.006404023268565883
/police-ripa-contraband-evid/,browser,16.0,29,0.00872921630116891
/police-ripa-disability/,browser,13.0,20,0.010284107954814624
/police-ripa-gender/,browser,17.0,29,0.009274792319991967
/police-ripa-prop-seize-basis/,browser,11.0,16,0.010877421875284697
/police-ripa-prop-seize-type/,browser,11.0,26,0.006693798077098276
/police-ripa-race/,browser,21.0,42,0.007910852272934326
/police-ripa-search-basis/,browser,12.0,23,0.008254802371757557
/police-ripa-stop-reason/,browser,22.0,38,0.009159934210766062
/police-ripa-stop-result/,browser,15.0,26,0.009127906468770375
/police-ripa-stops/,browser,37.0,147,0.003982333797259457
/police-vehicle-stops-search-details/,browser,169.0,22,0.04051315254926973
/police-vehicle-stops/,browser,595.0,719,0.003740875900970335
/promise-zone/,browser,179.0,416,0.0027231587631831623
/public-art/,browser,26.0,85,0.004839580214030411
/recreation-center-locations/,browser,63.0,135,0.0029533848485621484
/resident-satisfaction-survey/,browser,38.0,163,0.0024589970255337783
/revolving-loan-fund-coverage/,browser,15.0,47,0.00201979206968536
/right-of-way/,browser,43.0,112,0.0024297617695441145
/roads-lines/,browser,298.0,523,0.003606017556152091
/san-diego-boundary/,browser,520.0,941,0.0034972524394693725
/solar-permits/,browser,157.0,418,0.0029713009733270076
/special-events/,browser,212.0,489,0.0068593074922784335
/street-sweeping-schedule/,browser,31.0,246,0.0013291946908453338
/streetlight_inventory/,browser,89.0,258,0.005457874823962441
/streets-overall-condition-index/,browser,187.0,757,0.002605599956034732
/streets-repair-projects/,browser,208.0,907,0.0036283512078728554
/streets-repair-segments/,browser,90.0,406,0.0035072744067196518
/traffic-volumes/,browser,1355.0,3511,0.006106069398932505
/transit-routes/,browser,209.0,558,0.002370420250958099
/transit-stops/,browser,241.0,368,0.0041445986908199405
/zoning/,browser,322.0,723,0.0028185830504949966
